Year,Brazil,Canada,China,Germany,India,Japan,South Africa,United Kingdom,United States
1995,6.51076042,8.86134848,3.52548646,9.43119261,4.01863098,6.6226014000000015,8.28382429,6.69419941,13.08665381
1996,6.70694533,8.63665594,3.78557264,9.91390845,3.89701725,6.49028939,8.47180399,6.721364200000001,13.04409768
1997,6.69245518,8.60408832,4.0245977,10.03394379,4.24807061,6.72554817,8.58889772,6.49146782,12.96264222
1998,6.55967037,8.82742133,4.33385163,10.04933602,4.29626147,7.00892123,8.48517314,6.56273213,12.98733834
1999,6.90990454,8.72990945,4.48787053,10.04867111,4.0259877999999985,7.34097027,8.50569496,6.82592898,12.99005116
2000,7.02774504,8.66856172,4.59690987,10.10314295,4.26375646,7.53324651,8.06849287,6.940811599999999,13.06983845
2001,7.19063692,9.09586921,4.55782328,10.15409317,4.49651024,7.74668514,8.31481812,7.31085769,13.72876259
2002,7.13005982,9.36996095,4.78507297,10.39990223,4.40107258,7.84847852,8.08571189,7.56801541,14.54940527
2003,6.94296392,9.54031491,4.82123292,10.61578862,4.29653759,7.99594428,8.25734824,7.81211385,15.05869771
2004,7.06793519,9.55593893,4.72284375,10.37086787,4.22013959,8.03487741,7.92666753,7.97890281,15.13565701
2005,8.26702693,9.57259884,4.65846996,10.51754561,4.28217471,8.18154267,7.76856193,8.23536912,15.15399054
2006,8.35570723,9.75077613,4.52241742,10.34100073,4.24668128,8.19413457,7.56779385,8.36326097,15.2700426
2007,8.28058988,9.834884,4.31833293,10.180405300000002,4.22653116,8.24853451,7.53305757,8.41613855,15.56604376
2008,8.23798966,10.0314672,4.58905193,10.39246762,4.33949245,8.59902664,7.74694468,8.85089693,16.02261006
2009,8.64909707,11.17309256,5.07535532,11.40325491,4.37573742,9.51396085,8.38628739,9.80995593,16.99914257
2010,8.26736921,11.20113293,4.88633979,11.25156004,4.27967981,9.57849715,8.5041601,9.50702943,17.016758199999998
2011,8.0901717,10.82129629,5.02886408,10.93273699,4.33115071,10.07184997,8.61362713,9.33870027,17.05713122
2012,8.26089862,10.77921223,5.26451547,10.99191973,4.389042,10.16980518,8.79451471,9.41083326,17.01736133
2013,8.48312451,10.66516682,5.38570406,11.16480314,4.52911807,10.24737667,8.77541891,9.33908653,16.89772211
2014,8.32283359,10.449582,5.54822768,11.29700067,4.68508833,10.22874408,8.79698456,9.11547172,17.14075435
