Year,United States,Others
1995,13.08665381,6.408652960925926
1996,13.04409768,6.453343033518519
1997,12.96264222,6.364009670370371
1998,12.98733834,6.4759541783333345
1999,12.99005116,6.501853534259258
2000,13.06983845,6.393995792592593
2001,13.72876259,6.543098283333332
2002,14.54940527,6.73998352
2003,15.05869771,6.912549182962963
2004,15.13565701,6.964916911296297
2005,15.15399054,6.950193553518517
2006,15.2700426,6.918985136481482
2007,15.56604376,6.840060676296297
2008,16.02261006,7.069914427592594
2009,16.99914257,7.718941824814814
2010,17.016758199999998,7.602029658148149
2011,17.05713122,7.561865494814817
2012,17.01736133,7.709830445925924
2013,16.89772211,7.790976612037037
2014,17.14075435,7.728897018333334
