Year,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Mexico,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
1995,8.31099274,7.25973523,6.51076042,8.86134848,3.52548646,10.11255569,9.43119261,4.01863098,1.95621435,7.0951993,6.6226014000000015,5.05567469,2.93255211,8.28382429,2.5070327,6.69419941,13.08665381
1996,8.02499359,7.44304741,6.70694533,8.63665594,3.78557264,10.10873665,9.91390845,3.89701725,1.98662541,7.19380887,6.49028939,4.59296607,2.93290445,8.47180399,2.90240258,6.721364200000001,13.04409768
1997,8.36136161,7.49922799,6.69245518,8.60408832,4.0245977,9.97504961,10.03394379,4.24807061,1.92529768,7.47161217,6.72554817,4.71655688,3.02890481,8.58889772,3.13356918,6.49146782,12.96264222
1998,8.53592553,7.66270214,6.55967037,8.82742133,4.33385163,9.86474371,10.04933602,4.29626147,2.05535994,7.55160371,7.00892123,4.80138717,3.31272189,8.48517314,3.59344282,6.56273213,12.98733834
1999,9.35514932,7.78975897,6.90990454,8.72990945,4.48787053,9.85689755,10.04867111,4.0259877999999985,2.21846805,7.62970381,7.34097027,5.00884196,4.09906153,8.50569496,4.76552076,6.82592898,12.99005116
2000,9.21275669,8.07814515,7.02774504,8.66856172,4.59690987,9.77454768,10.10314295,4.26375646,1.9783324,7.91371676,7.53324651,4.97854213,4.23538585,8.06849287,4.94898488,6.940811599999999,13.06983845
2001,9.37589012,8.17867869,7.19063692,9.09586921,4.55782328,9.88690294,10.15409317,4.49651024,2.23198234,8.11320938,7.74668514,5.35288319,4.48913476,8.31481812,5.16018215,7.31085769,13.72876259
2002,8.31392968,8.39043833,7.13005982,9.36996095,4.78507297,10.22030799,10.39990223,4.40107258,2.26862572,8.22996699,7.84847852,5.5210778,4.28214226,8.08571189,5.35671343,7.56801541,14.54940527
2003,8.21606274,8.31845119,6.94296392,9.54031491,4.82123292,10.42832417,10.61578862,4.29653759,2.53372429,8.17185036,7.99594428,6.02185177,4.01870035,8.25734824,5.33861757,7.81211385,15.05869771
2004,6.84056093,8.57432053,7.06793519,9.55593893,4.72284375,10.53472683,10.37086787,4.22013959,2.36774828,8.49431614,8.03487741,6.11044039,3.5839803,7.92666753,5.37016598,7.97890281,15.13565701
2005,6.84561938,8.45389263,8.26702693,9.57259884,4.65846996,10.59988615,10.51754561,4.28217471,2.78958066,8.70707069,8.18154267,6.0443102,3.4187517,7.76856193,5.44880157,8.23536912,15.15399054
2006,6.68187054,8.49118995,8.35570723,9.75077613,4.52241742,10.52922033,10.34100073,4.24668128,2.90514781,8.81849072,8.19413457,5.83217814,3.54970413,7.56779385,5.81085626,8.36326097,15.2700426
2007,6.49458405,8.5306305,8.28058988,9.834884,4.31833293,10.44898821,10.180405300000002,4.22653116,3.09844209,8.48168567,8.24853451,5.91563943,3.48745137,7.53305757,6.03715628,8.41613855,15.56604376
2008,6.66371839,8.78349607,8.23798966,10.0314672,4.58905193,10.5698701,10.39246762,4.33949245,2.80594493,8.88584923,8.59902664,6.06132066,2.87015066,7.74694468,6.07447864,8.85089693,16.02261006
2009,7.63475841,9.04605596,8.64909707,11.17309256,5.07535532,11.28059369,11.40325491,4.37573742,2.82545945,9.41489657,9.51396085,6.59579987,4.08644859,8.38628739,6.07952123,9.80995593,16.99914257
2010,6.55015616,9.01527191,8.26736921,11.20113293,4.88633979,11.19721933,11.25156004,4.27967981,2.7406754,9.41991203,9.57849715,6.39444283,3.49296819,8.5041601,5.61321761,9.50702943,17.016758199999998
2011,5.89274265,9.19934655,8.0901717,10.82129629,5.02886408,11.33488998,10.93273699,4.33115071,2.7131642999999994,9.27499911,10.07184997,6.04343893,3.56571403,8.61362713,5.28676115,9.33870027,17.05713122
2012,5.01904817,9.35738514,8.26089862,10.77921223,5.26451547,11.43898967,10.99191973,4.389042,2.89787034,9.28206804,10.16980518,6.21482997,3.86342862,8.79451471,5.2363833,9.41083326,17.01736133
2013,4.98687258,9.36373848,8.48312451,10.66516682,5.38570406,11.56028303,11.16480314,4.52911807,2.92591721,9.21721878,10.24737667,6.29528345,4.24536506,8.77541891,5.384456,9.33908653,16.89772211
2014,4.78591616,9.42230024,8.32283359,10.449582,5.54822768,11.53951975,11.29700067,4.68508833,2.84686016,9.24791783,10.22874408,6.29642103,4.68408481,8.79698456,5.41495949,9.11547172,17.14075435
