Year,United States,Canada
1995,13.08665381,8.86134848
1996,13.04409768,8.63665594
1997,12.96264222,8.60408832
1998,12.98733834,8.82742133
1999,12.99005116,8.72990945
2000,13.06983845,8.66856172
2001,13.72876259,9.09586921
2002,14.54940527,9.36996095
2003,15.05869771,9.54031491
2004,15.13565701,9.55593893
2005,15.15399054,9.57259884
2006,15.2700426,9.75077613
2007,15.56604376,9.834884
2008,16.02261006,10.0314672
2009,16.99914257,11.17309256
2010,17.016758199999998,11.20113293
2011,17.05713122,10.82129629
2012,17.01736133,10.77921223
2013,16.89772211,10.66516682
2014,17.14075435,10.449582
