,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,2004-03-10,18:00:00,2.6,1360.0,150,11.8817234887,1045.5,166.0,1056.25,113.0,1692.0,1267.5,13.5999999046,48.8750009537,0.757753825129
1,2004-03-10,19:00:00,2.0,1292.25,112,9.39716488958,954.75,103.0,1173.75,92.0,1558.75,972.25,13.2999999523,47.6999998093,0.725487449242
2,2004-03-10,20:00:00,2.2,1402.0,88,8.99781687133,939.25,131.0,1140.0,114.0,1554.5,1074.0,11.9000000954,53.9750003815,0.750239067398
3,2004-03-10,21:00:00,2.2,1375.5,80,9.22879642141,948.25,172.0,1092.0,122.0,1583.75,1203.25,11.0,60.0,0.786712533086
4,2004-03-10,22:00:00,1.6,1272.25,51,6.51822366907,835.5,131.0,1205.0,116.0,1490.0,1110.0,11.1500000954,59.5750007629,0.788794231867
5,2004-03-10,23:00:00,1.2,1197.0,38,4.74101236248,750.25,89.0,1336.5,96.0,1393.0,949.25,11.1750001907,59.1750001907,0.78477166434
6,2004-03-11,00:00:00,1.2,1185.0,31,3.6243991898,689.5,62.0,1461.75,77.0,1332.75,732.5,11.3249998093,56.7749996185,0.760311939284
7,2004-03-11,01:00:00,1.0,1136.25,31,3.32667699166,672.0,62.0,1453.25,76.0,1332.75,729.5,10.6749999523,60.0,0.770238457823
8,2004-03-11,02:00:00,0.9,1094.0,24,2.33941619509,608.5,45.0,1579.0,60.0,1276.0,619.5,10.6500000954,59.6749992371,0.764818725686
9,2004-03-11,03:00:00,0.6,1009.75,19,1.69665825765,560.75,-200.0,1705.0,-200.0,1234.75,501.25,10.2500002384,60.2000007629,0.751657164831
10,2004-03-11,04:00:00,-200.0,1011.0,14,1.29361975737,526.75,21.0,1817.5,34.0,1196.75,445.25,10.0750000477,60.4749994278,0.746494516129
11,2004-03-11,05:00:00,0.7,1066.0,8,1.13343057119,512.0,16.0,1918.0,28.0,1182.0,421.75,10.9999997616,56.1750001907,0.736559600181
12,2004-03-11,06:00:00,0.7,1051.75,16,1.60376787973,553.25,34.0,1738.25,48.0,1221.25,471.5,10.4500000477,58.125,0.735295083025
