waypoint1	waypoint2	distance_m	duration_s
2 Lincoln Memorial Cir NW, Washington, DC 20037	3101 Wisconsin Ave NW, Washington, DC 20016	8476	915
Maryland State House, 100 State Cir, Annapolis, MD 21401	1600 Pennsylvania Ave NW, Washington, DC 20500	55328	2626
2 Lincoln Memorial Cir NW, Washington, DC 20037	101 MGM National Ave, Oxon Hill, MD 20745	19683	1184
1600 Pennsylvania Ave NW, Washington, DC 20500	3101 Wisconsin Ave NW, Washington, DC 20016	5902	1125
101 MGM National Ave, Oxon Hill, MD 20745	3101 Wisconsin Ave NW, Washington, DC 20016	26145	1878
Maryland State House, 100 State Cir, Annapolis, MD 21401	3101 Wisconsin Ave NW, Washington, DC 20016	62276	3240
2 Lincoln Memorial Cir NW, Washington, DC 20037	1600 Pennsylvania Ave NW, Washington, DC 20500	4297	618
2 Lincoln Memorial Cir NW, Washington, DC 20037	Maryland State House, 100 State Cir, Annapolis, MD 21401	55814	2546
1600 Pennsylvania Ave NW, Washington, DC 20500	101 MGM National Ave, Oxon Hill, MD 20745	19197	1263
Maryland State House, 100 State Cir, Annapolis, MD 21401	101 MGM National Ave, Oxon Hill, MD 20745	60872	2332
